DateTime,Entries,UniqueIPs
1574445602,8982,8982
1574452803,9279,9279
1574460002,9578,9578
1574463602,9676,9676
1574468102,5581,5581
1574475301,5930,5930
1574482502,6290,6290
1574486102,6458,6458
1574489702,6646,6646
1574493302,6825,6825
1574496901,7029,7029
1574505002,7466,7466
1574508601,7635,7635
1574512202,7799,7799
1574515802,7999,7999
1574523002,8358,8358
1574526601,8509,8509
1574531102,8728,8728
1574534702,8883,8883
1574538302,9051,9051
1574542802,9205,9205
1574546402,9406,9406
1574550002,9557,9557
1574553602,5546,5546
1574557202,5719,5719
1574560802,5874,5874
1574568001,6491,6491
1574571602,6649,6649
1574575202,6825,6825
1574578802,6988,6988
1574582402,7112,7112
1574586901,7298,7298
1574590502,7459,7459
1574594101,7583,7583
1574597702,7707,7707
1574601302,7876,7876
1574604902,8069,8069
1574608502,8212,8212
1574613002,8402,8402
1574620202,8687,8687
1574627402,8948,8948
1574631002,9067,9067
1574634603,9211,9211
1574638202,9323,9323
1574641802,5340,5340
1574645402,5524,5524
1574649002,5723,5723
1574653502,5983,5983
1574657102,6154,6154
1574660702,6341,6341
1574667902,6740,6740
1574671501,6964,6964
1574675102,7182,7182
1574678702,7397,7397
1574682302,7604,7604
1574685902,7840,7840
1574690402,8155,8155
1574694002,8396,8396
1574697603,8621,8621
1574701202,8823,8823
1574704802,9037,9037
1574708402,9272,9272
1574712002,9476,9476
1574715602,9694,9694
1574719202,9885,9885
1574726402,6496,6496
1574733602,6897,6897
1574737202,7061,7061
1574744402,7488,7488
1574751602,7884,7884
1574755202,8095,8095
1574758802,8323,8323
1574762402,8515,8515
1574766003,8706,8706
1574769602,8880,8880
1574774102,9108,9108
1574777702,9281,9281
1574784901,9626,9626
1574788502,9964,9964
1574792102,10164,10164
1574795702,10326,10326
1574803802,10668,10668
1574811002,10954,10954
1574814602,6402,6402
1574818202,6557,6557
1574819102,6587,6587
1574822702,6798,6798
1574830802,7188,7188
1574834402,7348,7348
1574838002,7535,7535
1574841602,7711,7711
1574848802,8103,8103
1574856902,8668,8668
1574860502,8810,8810
1574867702,9120,9120
1574871303,9260,9260
1574874902,9403,9403
1574878502,9527,9527
1574885702,9799,9799
1574889302,9935,9935
1574892902,10065,10065
1574896502,10185,10185
1574900102,5666,5666
1574904602,5844,5844
1574911802,6168,6168
1574919002,6981,6981
1574926202,7871,7871
1574929802,8200,8200
1574933402,8380,8380
1574937901,8809,8809
1574941502,9607,9607
1574945102,10060,10060
1574952301,10449,10449
1574959502,10826,10826
1574963102,11026,11026
1574970302,11380,11380
1574973902,11567,11567
1574978402,11765,11765
1574982003,11925,11925
1574985602,8017,8017
1574989202,8180,8180
1574991002,8297,8297
1574994602,8473,8473
1574998202,8645,8645
1575005402,9304,9304
1575011702,9693,9693
1575015302,9892,9892
1575018902,10100,10100
1575022503,10356,10356
1575026102,10532,10532
1575033302,10880,10880
1575036902,11035,11035
1575040502,11226,11226
1575044102,11394,11394
1575047702,11589,11589
1575051301,11760,11760
1575055802,11988,11988
1575063002,12306,12306
1575066603,12474,12474
1575070202,12622,12622
1575073802,6698,6698
1575078302,6945,6945
1575081902,7135,7135
1575085502,7287,7287
1575092702,8111,8111
1575096301,8292,8292
1575103502,8686,8686
1575107102,8884,8884
1575114302,9245,9245
1575118803,9496,9496
1575122402,9655,9655
1575126003,9787,9787
1575129602,9972,9972
1575133203,10172,10172
1575136802,10320,10320
1575140402,10471,10471
1575144002,10635,10635
1575147602,10791,10791
1575154802,11113,11113
1575162003,6514,6514
1575166502,6750,6750
1575173702,7113,7113
1575177302,7311,7311
1575184502,7614,7614
1575189002,7786,7786
1575196202,8086,8086
1575199802,8235,8235
1575203402,8369,8369
1575207002,8531,8531
1575210602,8654,8654
1575215102,8827,8827
1575218702,8997,8997
1575222303,9125,9125
1575225902,9324,9324
1575229502,9459,9459
1575233102,9605,9605
1575240302,9875,9875
1575243902,9990,9990
1575247502,5291,5291
1575251102,5455,5455
1575258302,5827,5827
1575262803,6058,6058
1575266402,6239,6239
1575270003,6421,6421
1575273602,6602,6602
1575277202,6792,6792
1575280802,6947,6947
1575284402,7159,7159
1575288002,7345,7345
1575295202,7731,7731
1575299702,7972,7972
1575303302,8130,8130
1575310502,8478,8478
1575314102,8615,8615
1575321302,8895,8895
1575325802,9122,9122
1575329402,9253,9253
1575336601,5866,5866
1575343802,6144,6144
1575347402,6276,6276
1575351002,6418,6418
1575354602,6595,6595
1575358202,6757,6757
1575361802,6981,6981
1575366302,7224,7224
1575369902,7486,7486
1575373502,7683,7683
1575380702,8031,8031
1575384302,8171,8171
1575387902,8327,8327
1575391502,8487,8487
1575399602,8824,8824
1575403202,8952,8952
1575406802,9092,9092
1575410402,9215,9215
1575414003,9350,9350
1575417602,5139,5139
1575421202,5302,5302
1575428401,5584,5584
1575432002,5727,5727
1575435602,5858,5858
1575439203,6030,6030
1575442803,6244,6244
1575446402,6419,6419
1575450003,6613,6613
1575453602,6822,6822
1575458102,7019,7019
1575465301,7330,7330
1575468902,7480,7480
1575472502,7653,7653
1575479702,7967,7967
1575483302,8129,8129
1575486903,8304,8304
1575490502,8506,8506
1575498602,8807,8807
1575502202,8944,8944
1575509402,5436,5436
1575513002,5609,5609
1575516602,5791,5791
1575520202,5973,5973
1575523802,6155,6155
1575527402,6370,6370
1575531902,6608,6608
1575535502,6840,6840
1575539102,7036,7036
1575546302,7461,7461
1575549902,7673,7673
1575553502,7871,7871
1575557102,8089,8089
1575564302,8433,8433
1575567902,8592,8592
1575576002,8950,8950
1575579602,9079,9079
1575583202,9227,9227
1575586803,9366,9366
1575590402,6183,6183
1575594003,6383,6383
1575597602,6591,6591
1575601202,6800,6800
1575604803,6984,6984
1575612002,7442,7442
1575615603,7655,7655
1575619202,7868,7868
1575622802,8076,8076
1575626402,8283,8283
1575630002,8475,8475
1575637202,8794,8794
1575641702,9015,9015
1575645302,9206,9206
1575648902,9371,9371
1575656102,9683,9683
1575659702,9816,9816
1575666902,10188,10188
1575671402,10384,10384
1575675002,10531,10531
1575678602,5974,5974
1575682202,6132,6132
1575689402,6481,6481
1575693002,6650,6650
1575696602,6842,6842
1575700202,7018,7018
1575703802,7204,7204
1575708302,7471,7471
1575711902,7638,7638
1575715502,7820,7820
1575719102,8003,8003
1575722702,8197,8197
1575726302,8359,8359
1575729902,8536,8536
1575733502,8691,8691
1575737102,8844,8844
1575745202,9172,9172
1575748803,9293,9293
1575752403,9425,9425
1575756002,9582,9582
1575759602,9710,9710
1575763202,5315,5315
1575770402,5672,5672
1575774002,5831,5831
1575781203,6126,6126
1575785702,6323,6323
1575789302,6461,6461
1575793802,6650,6650
1575797401,6794,6794
1575801002,6940,6940
1575804602,7081,7081
1575811801,7465,7465
1575819002,7871,7871
1575822602,8003,8003
1575826202,8151,8151
1575829802,8291,8291
1575834302,8463,8463
1575841502,8731,8731
1575845102,8860,8860
1575848702,8989,8989
1575852302,5258,5258
1575855902,5419,5419
1575859502,5632,5632
1575867602,6030,6030
1575871202,6224,6224
1575874802,6403,6403
1575878403,6611,6611
1575882002,6780,6780
1575885602,7011,7011
1575889202,7210,7210
